#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng
2180,The Mom Project,Chicago,USA,North America,54,2022-07-14,15.0,360,306,HR,Series C,$115,2022,41.85003,-87.65005
2181,Unstoppable Do.,San Francisco Bay Area,USA,North America,42,2022-07-14,25.0,168,126,Crypto,Series B,$7,2022,37.77493,-122.41942
2182,Kiavi,San Francisco Bay Area,USA,North America,39,2022-07-14,7.0,557,518,Real Estate,Series E,$240,2022,37.77493,-122.41942
2187,Tonal,San Francisco Bay Area,USA,North America,262,2022-07-13,35.0,749,487,Fitness,Series E,$450,2022,37.77493,-122.41942
2188,Fabric,New York City,USA,North America,120,2022-07-13,40.0,300,180,Logistics,Series C,$336,2022,40.71427,-74.00597
2190,ChowNow,Los Angeles,USA,North America,100,2022-07-13,20.0,500,400,Food,Series C,$64,2022,34.05223,-118.24368
2197,Gopuff,Philadelphia,USA,North America,1500,2022-07-12,10.0,15000,13500,Food,Series H,$3400,2022,39.95238,-75.16362
2200,Hubilo,San Francisco Bay Area,USA,North America,45,2022-07-12,12.0,375,330,Marketing,Series B,$153,2022,37.77493,-122.41942
2206,SundaySky,New York City,USA,North America,24,2022-07-11,13.0,185,161,Marketing,Series D,$74,2022,40.71427,-74.00597
2212,Butler Hospitality,New York City,USA,North America,1000,2022-07-08,100.0,1000,0,Food,Series B,$50,2022,40.71427,-74.00597
2213,Calibrate,New York City,USA,North America,156,2022-07-08,24.0,650,494,Healthcare,Series B,$127,2022,40.71427,-74.00597
2215,Argo AI,Pittsburgh,USA,North America,150,2022-07-07,5.0,3000,2850,Transportation,Unknown,3600,2022,40.44062,-79.99589
2216,Next Insurance,San Francisco Bay Area,USA,North America,150,2022-07-07,17.0,882,732,Finance,Series E,$881,2022,37.44188,-122.14302
2218,Emotive,Los Angeles,USA,North America,30,2022-07-07,18.0,167,137,Marketing,Series B,$78,2022,34.05223,-118.24368
2221,Remote,San Francisco Bay Area,USA,North America,100,2022-07-06,9.0,1111,1011,HR,Series C,$496,2022,37.77493,-122.41942
2224,SQream,New York City,USA,North America,30,2022-07-06,18.0,167,137,Data,Series B,$77,2022,40.71427,-74.00597
2228,Bizzabo,New York City,USA,North America,120,2022-07-05,30.0,400,280,Marketing,Series E,$194,2022,40.71427,-74.00597
2230,Verbit,New York City,USA,North America,80,2022-07-05,10.0,800,720,Data,Series E,$569,2022,40.71427,-74.00597
2231,Outschool,San Francisco Bay Area,USA,North America,31,2022-07-05,18.0,172,141,Education,Series D,$240,2022,37.77493,-122.41942
2233,Transmit Security,Boston,USA,North America,27,2022-07-05,7.0,386,359,Security,Series A,$583,2022,42.35843,-71.05977
2234,Thimble,New York City,USA,North America,20,2022-07-05,33.0,61,41,Finance,Series A,$28,2022,40.71427,-74.00597
2242,Celsius,New York City,USA,North America,150,2022-07-03,25.0,600,450,Crypto,Series B,$864,2022,40.71427,-74.00597
2246,WanderJaunt,San Francisco Bay Area,USA,North America,85,2022-07-01,100.0,85,0,Travel,Series B,$26,2022,37.77493,-122.41942
2247,Canoo,Los Angeles,USA,North America,58,2022-07-01,6.0,967,909,Transportation,Post-IPO,$300,2022,34.05223,-118.24368
2249,Teleport,San Francisco Bay Area,USA,North America,15,2022-07-01,6.0,250,235,Infrastructure,Series C,$169,2022,37.80437,-122.2708
2251,Enjoy,San Francisco Bay Area,USA,North America,400,2022-06-30,18.0,2222,1822,Retail,Post-IPO,$310,2022,37.44188,-122.14302
2253,Stash Financial,New York City,USA,North America,40,2022-06-30,8.0,500,460,Finance,Unknown,$480,2022,40.71427,-74.00597
2254,Nate,New York City,USA,North America,30,2022-06-30,20.0,150,120,Retail,Series A,$47,2022,40.71427,-74.00597
2256,Stream,Boulder,USA,North America,20,2022-06-30,12.0,167,147,Product,Series B,$58,2022,40.01499,-105.27055
2258,Abra,San Francisco Bay Area,USA,North America,12,2022-06-30,5.0,240,228,Crypto,Series C,$106,2022,37.70215,-121.93579
2263,Unity,San Francisco Bay Area,USA,North America,200,2022-06-29,4.0,5000,4800,Other,Post-IPO,$1300,2022,37.77493,-122.41942
2264,Niantic,San Francisco Bay Area,USA,North America,85,2022-06-29,8.0,1063,978,Consumer,Series D,$770,2022,37.77493,-122.41942
2266,Qumulo,Seattle,USA,North America,80,2022-06-29,19.0,421,341,Data,Series E,$347,2022,47.60621,-122.33207
2271,Baton,San Francisco Bay Area,USA,North America,16,2022-06-29,25.0,64,48,Transportation,Series A,$13,2022,37.77493,-122.41942
2272,Substack,San Francisco Bay Area,USA,North America,13,2022-06-29,14.0,93,80,Media,Series B,$82,2022,37.77493,-122.41942
2280,StockX,Detroit,USA,North America,120,2022-06-28,8.0,1500,1380,Retail,Series E,$690,2022,42.33143,-83.04575
2281,Sidecar Health,Los Angeles,USA,North America,110,2022-06-28,40.0,275,165,Healthcare,Series C,$163,2022,34.05223,-118.24368
2284,Bright Machines,San Francisco Bay Area,USA,North America,30,2022-06-28,8.0,375,345,Data,Unknown,$250,2022,37.77493,-122.41942
2289,AppLovin,San Francisco Bay Area,USA,North America,300,2022-06-27,12.0,2500,2200,Marketing,Post-IPO,$1600,2022,37.44188,-122.14302
2290,UiPath,New York City,USA,North America,210,2022-06-27,5.0,4200,3990,Data,Post-IPO,$2000,2022,40.71427,-74.00597
2294,SafeGraph,San Francisco Bay Area,USA,North America,27,2022-06-27,25.0,108,81,Data,Series B,$61,2022,37.77493,-122.41942
2298,Sunday,Atlanta,USA,North America,90,2022-06-24,23.0,391,301,Finance,Series A,$124,2022,33.749,-84.38798
2299,Bestow,Dallas,USA,North America,41,2022-06-24,14.0,293,252,Finance,Series C,$137,2022,32.78306,-96.80667
2300,Ethos Life,San Francisco Bay Area,USA,North America,40,2022-06-24,12.0,333,293,Finance,Series D,$406,2022,37.77493,-122.41942
2303,Netflix,San Francisco Bay Area,USA,North America,300,2022-06-23,3.0,10000,9700,Media,Post-IPO,$121900,2022,37.22661,-121.97468
2304,Aura,Boston,USA,North America,70,2022-06-23,9.0,778,708,Security,Series F,$500,2022,42.35843,-71.05977
2305,Pipl,Spokane,USA,North America,22,2022-06-23,13.0,169,147,Security,Unknown,$19,2022,47.65966,-117.42908
2306,Vouch,San Francisco Bay Area,USA,North America,15,2022-06-23,7.0,214,199,Finance,Series C,$159,2022,37.77493,-122.41942
2307,Voyage SMS,Los Angeles,USA,North America,8,2022-06-23,13.0,62,54,Marketing,Unknown,$10,2022,34.05223,-118.24368
2314,MasterClass,San Francisco Bay Area,USA,North America,120,2022-06-22,20.0,600,480,Education,Series E,$461,2022,37.77493,-122.41942
2315,IronNet,Washington DC,USA,North America,90,2022-06-22,35.0,257,167,Security,Post-IPO,$410,2022,38.89511,-77.03637
2317,IronNet,Washington DC,USA,North America,55,2022-06-22,17.0,324,269,Security,Post-IPO,$410,2022,38.89511,-77.03637
2319,Superpedestrian,Boston,USA,North America,35,2022-06-22,7.0,500,465,Transportation,Series C,$261,2022,42.35843,-71.05977
2327,Community,Los Angeles,USA,North America,40,2022-06-21,30.0,133,93,Marketing,Unknown,$40,2022,34.05223,-118.24368
2328,Sourcegraph,San Francisco Bay Area,USA,North America,24,2022-06-21,8.0,300,276,Product,Series D,$248,2022,37.77493,-122.41942
2333,SummerBio,San Francisco Bay Area,USA,North America,101,2022-06-20,100.0,101,0,Healthcare,Unknown,$7,2022,37.45383,-122.18219
2344,Socure,Reno,USA,North America,69,2022-06-17,13.0,531,462,Finance,Series E,$646,2022,39.52963,-119.8138
2345,Finite State,Columbus,USA,North America,16,2022-06-17,20.0,80,64,Security,Series B,$49,2022,39.96118,-82.99879
2346,JOKR,New York City,USA,North America,50,2022-06-16,5.0,1000,950,Food,Series B,$430,2022,40.71427,-74.00597
2347,Zumper,San Francisco Bay Area,USA,North America,45,2022-06-16,15.0,300,255,Real Estate,Series D,$178,2022,37.77493,-122.41942
2352,Weee!,Fremont,USA,North America,150,2022-06-15,10.0,1500,1350,Food,Series E,$863,2022,33.66946,-117.82311
2353,Notarize,Boston,USA,North America,110,2022-06-15,25.0,440,330,Legal,Series D,$213,2022,42.35843,-71.05977
2355,Tonkean,San Francisco Bay Area,USA,North America,23,2022-06-15,23.0,100,77,Other,Series B,$83,2022,37.77493,-122.41942
2361,Coinbase,San Francisco Bay Area,USA,North America,1100,2022-06-14,18.0,6111,5011,Crypto,Post-IPO,$549,2022,37.77493,-122.41942
2362,Redfin,Seattle,USA,North America,470,2022-06-14,8.0,5875,5405,Real Estate,Post-IPO,$319,2022,47.60621,-122.33207
2363,Compass,New York City,USA,North America,450,2022-06-14,10.0,4500,4050,Real Estate,Post-IPO,1600,2022,40.71427,-74.00597
2367,TIFIN,Boulder,USA,North America,24,2022-06-14,10.0,240,216,Crypto,Series D,$204,2022,40.01499,-105.27055
2370,BlockFi,New York City,USA,North America,250,2022-06-13,20.0,1250,1000,Crypto,Series E,$1000,2022,40.71427,-74.00597
2371,Wave Sports and Entertainment,Los Angeles,USA,North America,56,2022-06-13,33.0,170,114,Media,Series B,$65,2022,34.05223,-118.24368
2372,Studio,San Francisco Bay Area,USA,North America,33,2022-06-13,40.0,83,50,Education,Series B,$50,2022,37.77493,-122.41942
2380,Albert,Los Angeles,USA,North America,20,2022-06-10,8.0,250,230,Finance,Series C,$175,2022,34.05223,-118.24368
2384,OneTrust,Atlanta,USA,North America,950,2022-06-09,25.0,3800,2850,Security,Series C,$926,2022,33.749,-84.38798
2385,Stitch Fix,San Francisco Bay Area,USA,North America,330,2022-06-09,15.0,2200,1870,Retail,Post-IPO,$79,2022,37.77493,-122.41942
2387,Convoy,Seattle,USA,North America,90,2022-06-09,7.0,1286,1196,Logistics,Series E,$1100,2022,47.60621,-122.33207
2388,Hologram,Chicago,USA,North America,80,2022-06-09,40.0,200,120,Infrastructure,Series B,$82,2022,41.85003,-87.65005
2390,The Grommet,Boston,USA,North America,40,2022-06-09,100.0,40,0,Retail,Acquired,$5,2022,42.35843,-71.05977
2392,Preply,Boston,USA,North America,26,2022-06-09,5.0,520,494,Education,Series C,$100,2022,42.35843,-71.05977
2396,Sonder,San Francisco Bay Area,USA,North America,250,2022-06-08,21.0,1190,940,Travel,Post-IPO,$839,2022,37.77493,-122.41942
2398,Truepill,San Francisco Bay Area,USA,North America,150,2022-06-08,15.0,1000,850,Healthcare,Series D,$255,2022,37.66882,-122.0808
2405,Bird,Los Angeles,USA,North America,138,2022-06-07,23.0,600,462,Transportation,Post-IPO,$783,2022,34.05223,-118.24368
2412,Dutchie,Bend,USA,North America,50,2022-06-06,7.0,714,664,Other,Series D,$603,2022,44.05817,-121.31531
2418,Superhuman,San Francisco Bay Area,USA,North America,23,2022-06-03,22.0,105,82,Consumer,Series C,$108,2022,37.77493,-122.41942
2419,Food52,New York City,USA,North America,21,2022-06-03,15.0,140,119,Food,Acquired,$176,2022,40.71427,-74.00597
2423,Carbon Health,San Francisco Bay Area,USA,North America,250,2022-06-02,8.0,3125,2875,Healthcare,Series D,$522,2022,37.77493,-122.41942
2425,PolicyGenius,New York City,USA,North America,170,2022-06-02,25.0,680,510,Finance,Series E,$286,2022,40.71427,-74.00597
